"PolicyID","Exposure","CarAge","Density","ClaimAmount","Error","ln_expo","ln_expo_err"
100018,1,0,473,1122,0,0,0
100019,0.6,1,473,63,-0.717719546372756,-0.510825623765991,-1.22854517013875
100019,0.6,1,473,1141,-0.0563116768560288,-0.510825623765991,-0.56713730062202
100042,0.88,0,125,1069,0,-0.127833371509885,-0.127833371509885
100049,0.83,0,125,110,0,-0.186329578191493,-0.186329578191493
100052,0.83,0,86,1138,0,-0.186329578191493,-0.186329578191493
100062,0.77,0,247,329,0,-0.261364764134408,-0.261364764134408
100084,0.62,0,473,2426,0,-0.478035800943,-0.478035800943
100092,0.52,0,206,1154,0,-0.653926467406664,-0.653926467406664
100123,0.87,0,84,1146,0,-0.139262067333508,-0.139262067333508
100133,0.76,0,57,1736,0,-0.27443684570176,-0.27443684570176
100133,0.76,0,57,498,0,-0.27443684570176,-0.27443684570176
100141,0.55,0,18,66,0,-0.59783700075562,-0.59783700075562
100144,0.72,1,23,318,-0.164746703154696,-0.328504066972036,-0.493250770126733
10015,0.1,0,153,2027,0,-2.30258509299405,-2.30258509299405
100180,0.5,1,15,1130,-0.365493331106074,-0.693147180559945,-1.05864051166602
100192,0.4,0,15,359,0,-0.916290731874155,-0.916290731874155
10022,1,0,104,617,0,0,0
100243,0.73,1,376,3270,0.545950668090476,-0.3147107448397,0.231239923250776
100244,0.23,1,1054,97,-0.117105322510765,-1.46967597005894,-1.58678129256971
100249,0.85,0,1054,1166,0,-0.162518929497775,-0.162518929497775
100256,0.17,1,376,1112,0.687926103941367,-1.77195684193188,-1.08403073799051
100290,0.95,0,1054,1098,0,-0.0512932943875506,-0.0512932943875506
100292,0.92,0,17,211,0,-0.083381608939051,-0.083381608939051
10030,1,0,94,78,0,0,0
100319,0.78,0,1054,1776,0,-0.2484613592985,-0.2484613592985
100346,0.68,0,1054,67,0,-0.385662480811985,-0.385662480811985
100349,0.66,0,1054,1812,0,-0.415515443961666,-0.415515443961666
100357,0.41,1,1054,2953,1.21377281685331,-0.891598119283784,0.322174697569523
100360,0.59,0,1054,1573,0,-0.527632742082372,-0.527632742082372
100360,0.59,0,1054,211,0,-0.527632742082372,-0.527632742082372
100373,0.07,1,1054,1167,0.255237004495667,-2.65926003693278,-2.40402303243711
100396,0.43,0,30,1073,0,-0.843970070294529,-0.843970070294529
100402,0.13,1,1054,3112,0.25921199604076,-2.04022082852655,-1.78100883248579
100403,0.36,1,1054,1098,0.834944076106206,-1.02165124753198,-0.186707171425775
100413,0.17,0,167,579,0,-1.77195684193188,-1.77195684193188
100419,0.53,0,127,1090,0,-0.63487827243597,-0.63487827243597
100439,0.04,0,167,11582,0,-3.2188758248682,-3.2188758248682
