"Risk","Zone","Experience","SumInsAvg","TotalLoss","Error","ln_insured","ln_insured_err"
1,1,0,455.13,392491,-6.33872740265348,6.12058309242811,-0.218144310225366
1,1,0,72.88,15694,-0.497331263974375,4.2888142529517,3.79148298897733
1,1,0,1292.39,422201,-1.45500348577818,7.16424849637785,5.70924501059967
1,1,0,191.01,119373,-5.10383660996194,5.25232578269704,0.148489172735102
1,1,0,477.66,170913,4.82170574538701,6.16889918232854,10.9906049277156
1,1,0,105.58,56940,-1.03424620458927,4.65946895939547,3.6252227548062
1,1,0,32.55,77487,6.07559884371475,3.48277736865458,9.55837621236932
1,1,0,9998.46,6805992,15.1600176235186,9.21018636011697,24.3702039836355
1,1,0,314.58,214011,1.59395458219265,5.7512384158125,7.34519299800514
1,1,0,61.82,65303,2.28929836271551,4.12422693670397,6.41352529941948
1,1,0,47.06,20871,7.37402641692705,3.85142338329922,11.2254498002263
1,1,0,782.58,242894,4.01673318327195,6.66259615361025,10.6793293368822
1,1,0,115.43,23545,8.08928246961562,4.74866428562682,12.8379467552424
1,1,0,15.25,6560,1.17354799243744,2.72457950305342,3.89812749549086
1,1,0,6416.19,2873487,9.93707265155413,8.76657976257421,18.7036524141283
1,1,0,309.98,134931,-0.344593099944065,5.7365077792689,5.39191467932484
1,1,0,49.18,50908,5.23625047011031,3.89548703678805,9.13173750689836
1,1,0,497.2,112992,0.995266112337764,6.20899235963656,7.20425847197432
1,1,0,73.48,14788,3.90908398473893,4.29701326034693,8.20609724508585
1,1,0,278.01,48713,3.95673533972567,5.62765708426671,9.58439242399237
1,1,0,17.86,13161,4.25301630266397,2.88256357544835,7.13557987811233
1,1,0,5063.15,1707680,-4.25929700472121,8.52974409823458,4.27044709351338
1,1,1,318.48,103866,0,5.76355967869206,5.76355967869206
1,1,1,35.33,11839,0,3.56473246137105,3.56473246137105
1,1,1,374.28,98140,0,5.92500418040771,5.92500418040771
1,1,1,85.18,27919,0,4.44476666449507,4.44476666449507
1,1,1,199.7,103910,0,5.29681624042177,5.29681624042177
1,1,1,60.46,38065,0,4.10198198935131,4.10198198935131
1,1,1,4263.09,1267678,0,8.35774952843539,8.35774952843539
1,1,1,444.37,69203,0,6.09665754873612,6.09665754873612
1,1,1,86.65,14620,0,4.46187701616162,4.46187701616162
1,1,1,53.81,40258,0,3.98545932350133,3.98545932350133
1,1,1,361.62,161455,0,5.89059393672301,5.89059393672301
1,1,1,117.91,20011,0,4.76992162158858,4.76992162158858
1,1,1,232.55,57214,0,5.44910525567011,5.44910525567011
1,1,1,81.27,4496,0,4.39777694476511,4.39777694476511
1,1,1,4761.37,1116208,0,8.46829072094069,8.46829072094069
1,1,1,1016.67,217617,0,6.9242878596165,6.9242878596165
1,1,1,150.56,58099,0,5.01436167583707,5.01436167583707
1,1,1,126.69,12268,0,4.84174315761396,4.84174315761396
1,1,1,482.96,137005,0,6.17993383448817,6.17993383448817
1,1,1,203.6,33767,0,5.31615728467637,5.31615728467637
1,1,1,9197.99,1939894,0,9.12674026090641,9.12674026090641
1,1,1,5430.48,1048698,0,8.59978280681118,8.59978280681118
1,1,1,659.54,143915,0,6.49154262232721,6.49154262232721
1,1,1,657.34,153830,0,6.48820138843087,6.48820138843087
1,1,1,2795.72,202413,0,7.93584495527753,7.93584495527753
