"Risk","Zone","Experience","SumInsAvg","TotalLoss","Error","ln_insured","ln_insured_err"
1,1,0,455.13,392491,-1.43543909274551,6.12058309242811,4.6851439996826
1,1,0,72.88,15694,-0.112623353712058,4.2888142529517,4.17619089923964
1,1,0,1292.39,422201,-0.329493406309393,7.16424849637785,6.83475509006846
1,1,0,191.01,119373,-1.15579139589726,5.25232578269704,4.09653438679978
1,1,0,477.66,170913,1.09190133618095,6.16889918232854,7.26080051850949
1,1,0,105.58,56940,-0.23421064502153,4.65946895939547,4.42525831437394
1,1,0,32.55,77487,1.37585220788273,3.48277736865458,4.85862957653731
1,1,0,9998.46,6805992,3.43306795846748,9.21018636011697,12.6432543185844
1,1,0,314.58,214011,0.360959633377256,5.7512384158125,6.11219804918975
1,1,0,61.82,65303,0.51842399208152,4.12422693670397,4.64265092878549
1,1,0,47.06,20871,1.66988815221241,3.85142338329922,5.52131153551163
1,1,0,782.58,242894,0.90961094714107,6.66259615361025,7.57220710075132
1,1,0,115.43,23545,1.83186175261085,4.74866428562682,6.58052603823767
1,1,0,15.25,6560,0.265756288060681,2.72457950305342,2.9903357911141
1,1,0,6416.19,2873487,2.25030382999622,8.76657976257421,11.0168835925704
1,1,0,309.98,134931,-0.0780349706382717,5.7365077792689,5.65847280863063
1,1,0,49.18,50908,1.18577723046695,3.89548703678805,5.081264267255
1,1,0,497.2,112992,0.225383392372485,6.20899235963656,6.43437575200904
1,1,0,73.48,14788,0.885233204092467,4.29701326034693,5.18224646443939
1,1,0,278.01,48713,0.896024111071937,5.62765708426671,6.52368119533865
1,1,0,17.86,13161,0.963118537069796,2.88256357544835,3.84568211251815
1,1,0,5063.15,1707680,-0.964540836009338,8.52974409823458,7.56520326222524
1,1,1,318.48,103866,0,5.76355967869206,5.76355967869206
1,1,1,35.33,11839,0,3.56473246137105,3.56473246137105
1,1,1,374.28,98140,0,5.92500418040771,5.92500418040771
1,1,1,85.18,27919,0,4.44476666449507,4.44476666449507
1,1,1,199.7,103910,0,5.29681624042177,5.29681624042177
1,1,1,60.46,38065,0,4.10198198935131,4.10198198935131
1,1,1,4263.09,1267678,0,8.35774952843539,8.35774952843539
1,1,1,444.37,69203,0,6.09665754873612,6.09665754873612
1,1,1,86.65,14620,0,4.46187701616162,4.46187701616162
1,1,1,53.81,40258,0,3.98545932350133,3.98545932350133
1,1,1,361.62,161455,0,5.89059393672301,5.89059393672301
1,1,1,117.91,20011,0,4.76992162158858,4.76992162158858
1,1,1,232.55,57214,0,5.44910525567011,5.44910525567011
1,1,1,81.27,4496,0,4.39777694476511,4.39777694476511
1,1,1,4761.37,1116208,0,8.46829072094069,8.46829072094069
1,1,1,1016.67,217617,0,6.9242878596165,6.9242878596165
1,1,1,150.56,58099,0,5.01436167583707,5.01436167583707
1,1,1,126.69,12268,0,4.84174315761396,4.84174315761396
1,1,1,482.96,137005,0,6.17993383448817,6.17993383448817
1,1,1,203.6,33767,0,5.31615728467637,5.31615728467637
1,1,1,9197.99,1939894,0,9.12674026090641,9.12674026090641
1,1,1,5430.48,1048698,0,8.59978280681118,8.59978280681118
1,1,1,659.54,143915,0,6.49154262232721,6.49154262232721
